,train_accuracy,validation_accuracy,train_loss,validation_loss,human_error,avoidable_bias,variance
0,0.5286666676402092,0.6120000004768371,0.6901244665185611,0.66934152841568,0.005,0.4663333323597908,-0.08333333283662792
1,0.5783333376049995,0.6320000052452087,0.6712917486826578,0.6456790566444397,0.005,0.4166666623950005,-0.05366666764020922
2,0.6180000024537246,0.5800000101327896,0.651587751507759,0.681754133105278,0.005,0.37699999754627544,0.03799999232093498
3,0.6420000046491623,0.703999999165535,0.6326182047526042,0.5884528607130051,0.005,0.3529999953508377,-0.061999994516372725
4,0.6461666723092397,0.7130000054836273,0.6229328408837318,0.5785059362649918,0.005,0.34883332769076025,-0.06683333317438755
5,0.6588333385686079,0.6340000048279762,0.6078718366722266,0.6061857849359512,0.005,0.33616666143139207,0.02483333374063168
6,0.674333336452643,0.7400000035762787,0.5957805005212625,0.5467792272567749,0.005,0.32066666354735696,-0.06566666712363567
7,0.6950000037749609,0.7220000088214874,0.5834072440862655,0.5411410450935363,0.005,0.29999999622503914,-0.027000005046526554
8,0.6926666676998139,0.7330000013113022,0.5815481603145599,0.5422955706715584,0.005,0.3023333323001861,-0.040333333611488276
9,0.7023333355784416,0.7150000035762787,0.5701547868549823,0.5492566362023353,0.005,0.2926666644215584,-0.012666667997837111
10,0.7083333387970925,0.756999996304512,0.5646732235948245,0.4986292526125908,0.005,0.2866666612029075,-0.0486666575074195
11,0.7143333340684573,0.7639999955892562,0.5516917049884796,0.5014656320214271,0.005,0.28066666593154266,-0.049666661520798905
12,0.7218333338697751,0.7620000004768371,0.5427133237322171,0.4999066159129143,0.005,0.2731666661302249,-0.04016666660706203
13,0.7193333342671394,0.7690000087022781,0.5439378269016742,0.4854158088564873,0.005,0.2756666657328606,-0.049666674435138725
14,0.7253333364923795,0.7689999938011169,0.5400626880427202,0.4706289619207382,0.005,0.2696666635076205,-0.04366665730873742
15,0.7243333354592323,0.7739999949932098,0.5358068563044072,0.4796363592147827,0.005,0.2706666645407677,-0.04966665953397753
16,0.7290000011523564,0.772000002861023,0.5315936940411726,0.4675981342792511,0.005,0.2659999988476436,-0.04300000170866658
17,0.7355000014106433,0.793999993801117,0.5263824537396431,0.45315771400928495,0.005,0.2594999985893567,-0.058499992390473654
18,0.7401666661103566,0.7689999938011169,0.5201513200998307,0.48815571516752243,0.005,0.25483333388964335,-0.028833327690760302
19,0.7400000030795734,0.7759999990463257,0.5155029935141404,0.4674150913953781,0.005,0.25499999692042663,-0.035999995966752296
20,0.7494999979933102,0.7879999965429306,0.5039817593991757,0.44652360379695893,0.005,0.24550000200668975,-0.038499998549620384
21,0.7470000018676122,0.803999999165535,0.5103804975748062,0.4384458512067795,0.005,0.24799999813238782,-0.05699999729792282
22,0.7508333345254262,0.785999995470047,0.5021828753252824,0.43111026138067243,0.005,0.24416666547457377,-0.03516666094462073
23,0.7561666677395503,0.7929999947547912,0.49777705197532973,0.45958189070224764,0.005,0.23883333226044967,-0.03683332701524089
24,0.7521666670838992,0.8039999961853027,0.49704796075820923,0.42653423398733137,0.005,0.24283333291610076,-0.05183332910140348
25,0.7531666651368141,0.8199999898672103,0.49379525557160375,0.42073879539966585,0.005,0.24183333486318592,-0.06683332473039627
26,0.7623333320021629,0.8129999905824661,0.48585295900702474,0.41963768750429153,0.005,0.23266666799783708,-0.05066665858030317
27,0.7638333295782407,0.8159999936819077,0.4856730436285337,0.4167461574077606,0.005,0.2311666704217593,-0.05216666410366699
28,0.7681666652361552,0.8079999953508377,0.48013718898097674,0.40458849221467974,0.005,0.22683333476384482,-0.039833330114682486
29,0.7644999985893567,0.8149999976158142,0.4743517200152079,0.4081952214241028,0.005,0.2305000014106433,-0.05049999902645752
30,0.7654999996225039,0.8199999988079071,0.4732719163099925,0.4002715826034546,0.005,0.22950000037749607,-0.05449999918540316
31,0.7741666654745738,0.825,0.4730472053090731,0.40506058037281034,0.005,0.2208333345254262,-0.050833334525426155
32,0.7804999957482021,0.8119999945163727,0.4621230483055115,0.40221584886312484,0.005,0.21450000425179794,-0.03149999876817067
33,0.7776666646202405,0.8339999914169312,0.4644678384065628,0.3878068938851357,0.005,0.21733333537975952,-0.056333326796690675
34,0.7796666622161865,0.7989999979734421,0.46123381877938907,0.42901989072561264,0.005,0.21533333778381347,-0.0193333357572556
35,0.783166666328907,0.747000002861023,0.4595190189778805,0.5432718142867088,0.005,0.21183333367109303,0.036166663467884
36,0.7759999965627988,0.8319999933242798,0.46246630599101385,0.3703139290213585,0.005,0.21900000343720116,-0.05599999676148093
37,0.782999994357427,0.777999997138977,0.4515535483757655,0.46898876428604125,0.005,0.21200000564257304,0.004999997218449903
38,0.789999996125698,0.8189999997615814,0.44420397877693174,0.37409468963742254,0.005,0.20500000387430195,-0.029000003635883398
39,0.7849999979138375,0.8449999928474426,0.44776713773608207,0.3491415768861771,0.005,0.21000000208616254,-0.059999994933605194
40,0.7901666631301244,0.828999999165535,0.4474744665126006,0.3708977624773979,0.005,0.2048333368698756,-0.038833336035410615
41,0.7908333311478297,0.7999999970197678,0.44358067711194354,0.41602469980716705,0.005,0.20416666885217027,-0.00916666587193804
42,0.7961666613817215,0.8229999929666519,0.4322239925463994,0.38204223215579985,0.005,0.19883333861827845,-0.026833331584930398
43,0.7973333284258842,0.8299999982118607,0.4365377862006426,0.35016215294599534,0.005,0.19766667157411577,-0.03266666978597643
